lastname,taxid,mpin,provstatus,provtype,orgtypecd,state
(ABSMC) SUMMIT CAMPUS                   ,941196176,5805739,P,O,1,CA
1ST MED URGENT & FAMILY CARE            ,630659133,2400930,N,O,1,AL
23RD MEDICAL GROUP                      ,582473545,879107,N,O,1,GA
27TH MEDICAL GROUP/SGSR                 ,850107168,1022591,N,O,1,NM
28TH MEDICAL GROUP SGSR                 ,460440127,2293344,N,O,1,VA
2D STRATEGIC HOSPITAL/SGAM              ,0,793375,N,O,1,LA
325TH MEDICAL GROUP                     ,593310324,1652488,N,O,1,FL
337 LENOX MEDICAL SERVICES PC           ,474720018,5781576,N,O,1,NY
354TH MEDICAL GROUP                     ,0,793758,N,O,1,SC
355TH MED GRP/DAVIS MTN AFB HSP         ,860754402,1121128,N,O,1,VA
363D MED GROUP/MGAM                     ,570323447,1024754,N,O,1,SC
366TH MEDICAL GROUP/SGSBF               ,820203889,1694906,N,O,1,ID
366TH MEDICAL GROUP/SGSBF               ,820490691,1694906,N,O,1,ID
380TH MEDICAL GROUP/SGAM                ,141455887,1014396,N,O,1,NY
380TH STRATEGIC HOSPITAL                ,141455887,1538441,N,O,1,NY
3RD MEDICAL CENTER  SGAMM               ,721599805,1705399,N,O,1,AK
410TH STRAT HOSPITAL/SGAM               ,382726310,147421,N,O,1,MI
45TH MEDICAL GROUP  SGAM                ,1256,1519427,N,O,1,FL
47 MED GP/SGAM                          ,0,1117041,N,O,1,TX
47 MEDICAL GROUP                        ,742746092,1682928,N,O,1,TX
48TH MEDK L GROUP                       ,472706270,5569543,N,O,1,AE
5TH MEDICAL GROUP/SGAM HOSPITAL         ,450441817,1117626,N,O,1,ND
6TH MDSS/SGSR-TPC                       ,593596473,1866663,N,O,1,FL
71 MDSS SGSR                            ,931191708,2270410,N,O,1,OK
722ND MEDICAL GROUP                     ,951645402,1716002,N,O,1,CA
77TH MED GP/SGM-H                       ,941185295,171407,N,O,1,CA
7TH MEDICAL GROUP/SGAM                  ,752623154,478566,N,O,1,TX
800 MEDICAL CENTER                      ,250984595,1851960,N,O,1,PA
833RD AIR DIVISION HOSPITAL             ,0,292490,N,O,1,NM
857 STRAT HOSPITAL                      ,450273109,1613691,N,O,1,ND
97TH MEDICAL GROUP                      ,470788411,1616845,N,O,1,OK
