state,specialty,ndb_spec,credentialing_required
AL,Abdominal Surgery,270,Yes (as Surgery)
AL,Acupuncture,201,No2
AL,Addiction Medicine Specialist,331,No2
AL,Advanced Practice Registered Psychiatric Nurse Practitioner,374,No2
AL,Advanced Registered Nurse Practitioner,375,Yes (as Nurse Practitioner)
AL,Athletic Trainer,121,No
AL,Audiology,205,Yes
AL,Behavioral Analyst,300,No2
AL,Certified Diabetic Educator,27,Yes
AL,Certified Nurse Midwife,69,Yes
AL,Certified Registered Nurse Anesthetist,68,No1 (Except MO)
AL,Child Psychology,268,No2
AL,Chiropractic Medicine,35,No2
AL,Christian Science Practitioner,376,No
AL,Counselor - MH/SA/School,377,No2
AL,Dentist,50,No2
AL,"Dentist, Oral Surgeon",92,Yes
AL,Employee Assistance Program (EAP) Counselor,379,No
AL,Empowerment Coach,118,No
AL,Endodontics,51,No2
AL,Family Nurse Practitioner,339,Yes (as Nurse Practitioner)
AL,Genetic Counselor,320,No
AL,Hearing Instrument Specialist,298,No
AL,Home Health  / Private Duty Nurse,243,No
AL,Home Health Aide,67,No
AL,Homemaker,21,No
AL,Homeopathic Medicine,282,No
AL,Lactation Specialist,380,No
AL,Licensed Professional Counselor,381,No2
AL,Licensed Vocational Nurse,382,No
AL,Marriage & Family Therapy,318,No2
AL,Massage Therapy,514,No
AL,Master of Social Work,391,No2
AL,"Naturopathy, Doctor of",384,Yes
AL,Neuropsychology,397,No2
AL,Non-Indep Licensed MH Provider,244,No
AL,Nurse Practitioner,77,Yes
AL,"Nurse Practitioner, Clinical Specialist in Mental Health (NP)",387,No2
AL,"Nurse, Clinical Specialist in Mental Health",385,No2
AL,"Nurse, Licensed Practical",65,No
AL,"Nurse, Registered",64,No
AL,"Nurse, Registered, First Assistant (RNFA)",386,No
AL,Nutritionist (Registered Dietician),89,Yes
AL,Occupational Therapy,61,No2
AL,Optician,109,No
AL,Optometry,76,No2
AL,Orthodontics,52,No2
AL,Pastoral Counselor,388,No
AL,Pediatric Nurse Practitioner,389,Yes (as Nurse Practitioner)
AL,Pediatric Nutrition,120,Yes (as Registered Dietician)
AL,Pediatric Occupational Therapy,119,No2
AL,Pedodontics,53,No2
AL,Peridontics,54,No2
AL,Pharmacist,212,No
AL,Physical Therapy,73,No2
AL,Physical Therapy - Hand,368,No2
AL,Physical Therapy - Hand Splinting,369,No2
AL,Physical Therapy - Pediatric,367,No2
AL,Physician Assistant,338,Yes
AL,Podiatry,48,Yes
AL,Prosthodontics,55,No2
AL,Psychiatric Nurse Specialist/Practitioner,329,No2
AL,"Psychology, Clinical (Doctorate Level)",70,No2
AL,"Psychology, Clinical (Masters Level)",70,No2
AL,Registered Nurse Anesthetist,395,No1 (Except MO)
AL,Social Worker (Registered Social Worker),390,No2
AL,"Social Worker, Licensed Clinical/Medical",63,No2
AL,"Social Worker, Marriage & Family",392,No2
AL,Speech Pathology,246,No2
AL,Speech Therapy,74,No2
AL,"Substance Abuse Services, Alcohol & Drug",507,No
AL,Surgical Technician,393,No
AL,Unknown Physician/Doctor of Education,99,No
AL,Visiting Nurse,394,No
AL,Certified Asthma Educator,43,No
AL,Assisted Care Living Facility - Center  (HCBS,,No
AL,Assisted Care Living Facility - Home  (HCBS,,No
AL,Critical Access Hospital,,Yes (as General Acute Hospital)
AL,General Acute Care Hospital,,Yes
AL,Hospital Unit - Epilepsy,,Yes (as General Acute Hospital)
AL,Hospital Unit - Psychiatry,,No2
AL,Hospital Unit - Rehabilitation,,Yes (as General Acute Hospital)
AL,Indian Health Service Hospital,,No
AL,In-Patient Hospice,,Yes
AL,Physical Disability / Rehabilitation Facility,,Yes
AL,Long Term Acute Care Facility (LTAC),,Yes
AL,Medicare Defined Swing Bed,,Yes (as General Acute Hospital)
AL,Military Hospital,,No
AL,Military Treatment Facility / TRICARE USE ONLY,,No
AL,Non Medical In-Patient Facility,,No
AL,Osteopathic Hospital,,Yes
AL,Pediatric Hospital,,Yes
AL,Psychiatric Hospital,,No2
AL,Religious Nonmedical Health Care Institution,,No
AL,"Residential Treatment Facility (Facility, Community/MHDD)",,No
AL,Respite Care Facility,,No
AL,Alcohol/Chemical Dependency Treatment Center,,No
AL,School / Custodial /Developmental Center,,No
AL,Skilled Nursing  Facility (Convalescent Facility),,Yes
AL,Veteran's Administration or other Gov'tal Facility,,No
AL,Pest Control Company (HCBS),,No
AL,Adult Day Care/Social Day Care,,No
AL,Adult Day Health Care,,No
AL,Adult Foster Care (HCBS),,No
AL,Alcohol Treatment Center/Clinic,,No
AL,Ambulance - Freestanding,,No
AL,Ambulance - Hospital Based,,No
AL,Ambulatory Surgery Center/ASC,,Yes
AL,Assitive Technology Supplier  (HCBS),,No
