spec,is_mid_level
ACUPUNCTURE,N
ADDICTION MEDICINE,N
ADDICTION MEDICINE SPECIALISTS,N
ADDICTION PSYCHIATRY,N
ADOLESCENT MEDICINE,N`
ADULT DAY HEALTH CARE,N
ADVANCED PRACTICE REGISTERED PSYCHIATRIC NURSE SP,Y
ADVANCED REGISTERED NURSE PRACTITIONER,Y
AEROSPACE MEDICINE,N
ALCOHOL & DRUG COUNSELOR,N
ALLERGY,N
ALLERGY AND IMMUNOLOGY,N
AMBULANCE SERVICES,N
AMBULATORY SURG CTR(NON HOSP),N
AMBULATORY SURGERY (HOSP BASED),N
ANATOMIC & CLINICAL PATHOLOGY,N
ANATOMIC PATHOLOGY,N
ANESTHESIOLOGIST ASSISTANT,N
ANESTHESIOLOGY,N
ARTHROSCOPY,N
ASSISTED LIVING CENTER,N
ATHLETIC TRAINER,N
AUDIOLOGY,N
AUDIOLOGY/HEARING,N
AUTISM AGENCY,N
AUTISM TUTOR,N
BACK AND SPINE SURGERY,N
BEHAVIORAL ANALYST - AUTISM,N
BEHAVIORAL PEDIATRICS,N
BIRTHING CENTER(HOSP BASED),N
BLACK LUNG CLINIC,N
BLANK LUNG CLN,N
BLOOD BANKING,N
BLOOD BANKING/TRANSFUSION MEDICINE,N
BONE MARROW TRANSPLANT,N
BREAST RECONSTRUCTION,N
BREAST SURGERY,N
BURN UNIT,N
CANCER PROGRAM IP,N
CANCER PROGRAM OP, N
CARDIAC CATH LAB IP,N
CARDIAC CATH LAB OP, N
CARDIAC DIAGNOSTIC,N
CARDIAC REHAB,N
CARDIAC SURGERY,N
CARDIOLOGY,N
CARDIOVASCULAR DISEASE,N
CARDIOVASCULAR SURGERY,N
CASE MANAGEMENT AGENCY,N
CERTIFIED ASTHMA EDUCATOR,N
CERTIFIED DIABETIC EDUCATOR,N
CERTIFIED NURSE MIDWIFE,Y
CERTIFIED SURGICAL ASSISTANT,N
CHEMICAL PATHOLOGY,N
CHEMOTHERAPY,N
CHEST AND RESPIRATORY THERAPY,N
CHILD & ADOLESCENT PSYCHIATRY,N
CHILD NEUROLOGY,N
CHILD PSYCHOLOGY,N
CHIROPRACTIC MEDICINE,N
CHRISTIAN SCIENCE HOSPITAL OP, N
CHRISTIAN SCIENCE HOSPITAL IP,N
CHRISTIAN SCIENCE PRACTITIONER,N
CLIN NURSE SPECIALIST (NON BEHAVIORAL),Y
CLINIC,N
CLINICAL BIOCHEMICAL GENETICS,N
CLINICAL BIOCHEMICAL/MOLECULAR GENETICS,N
CLINICAL CARDIAC ELECTROPHYSIOLOGY,N
CLINICAL CYTOGENETICS,N
CLINICAL GENETICS,N
CLINICAL MOLECULAR GENETICS,N
CLINICAL NEUROPHYSIOLOGY,N
CLINICAL PATHOLOGY,N
CLINICAL PHARMACOLOGY,N
CLINICAL PSYCHOLOGY,N
CLINICAL/MEDICAL SOCIAL WORKER,N
COLON AND RECTAL SURGERY,N
COMMUNITY MENTAL HEALTH CENTER,N
COMPUTED TOMOGRAPHY - CT,N
COMPUTED TOMOGRAPHY ANGIOGRAPHY - CTA,N
CONSOLIDATED HLT CTR PROG,N
CONV CARE CLINIC,N
CORNEA SURGERY,N
CORONARY INTENSIVE CARE,N
CORONARY INTERVENTIONS,N
CRISIS DIVERSION,N
CRITICAL ACCESS HOSPITAL OP, N
CRITICAL ACCESS HOSPITAL IP,N
CRITICAL CARE,N
