specialty_name_in_sot,specialty_name_in_taxonomy_grid,degree
BH PROF COUNSELOR,LICENSED PROFESSIONAL COUNSELOR,NA
OB/GYN,OBSTETRICS AND GYNECOLOGY,MD/DO
Nurse Practitioner-Pediatrics,PEDIATRIC NURSE PRACTITIONER,NP
Family Medicine,FAMILY PRACTICE,MD/DO
Cardio Thoracic Surgery,THORACIC CARDIOVASCULAR SURGERY,MD/DO
Advanced Registered Nurse Practitioner,ADVANCED REGISTERED NURSE PRACTITIONER,ARNP
Oncology/Hematology,HEMATOLOGY/ONCOLOGY,MD/DO
Foot and Ankle Surgery,PODIATRY,DPM
Nurse Practitioner Adult Health,NURSE PRACTITIONER,NP
Nurse Midwife,CERTIFIED NURSE MIDWIFE,CNM
NA,MASSAGE THERAPY,MTH
NA,ORTHOTICS PROSTHETICS,CPO/PO
NA,PASTORAL COUNSELOR,DD
NA,PHARMACIST,PHA
Certified Registered Nurse Practitioner,NURSE PRACTITIONER,NP
NA,VISITING NURSE,VNA
Registered Nurse,NURSE PRACTITIONER,NP
Emergency Nurse Practitioner,NURSE PRACTITIONER,NP/FNP
Infectious Disease,INFECTIOUS DISEASE MEDICINE,MD/DO
Nurse Practitioner Acute Care,NURSE PRACTITIONER,NP
interventional Neuroradiology,NEURORADIOLOGY,MD/DO
Speech Pathologist,SPEECH PATHOLOGY,LSP
Certified Pediatric Nurse Practitioner,NURSE PRACTITIONER,NP
Breast Imaging,RADIOLOGY,MD/DO
Adult-Gerontology Acute Care Nurse Practitioner,NURSE PRACTITIONER,NP
Acute Care Pediatric Nurse Practitioner,NURSE PRACTITIONER,NP
Adult Nurse Practitioner,NURSE PRACTITIONER,NP
Neurosurgery,NEUROLOGICAL SURGERY,MD/DO
Transplant Surgery,SURGERY,MD/DO
fp,FAMILY PRACTICE,MD/DO
peds,PEDIATRICS,MD/DO
Chiro,CHIROPRACTIC MEDICINE,DC
Psych,PSYCHIATRY,MD/DO
Psych,CLINICAL PSYCHOLOGY,PsY
Anesthesia,ANESTHESIOLOGIST ASSISTANT,MS
Anesthesia,ANESTHESIOLOGY,MD/DO
Pain Medicine,PAIN MANAGEMENT,MD/DO
General Surgery,SURGERY,MD/DO
Medical Hospitalist,HOSPITALIST,MD/DO
Geriatrics,GERIATRIC MEDICINE,MD/DO
neuro,NEUROLOGY,MD/DO
Thorsurg,THORACIC SURGERY,MD/DO
Pulmonary Diseases,PULMONARY MEDICINE,MD/DO
AUD,AUDIOLOGY,AUD
Allergy & Immunology,ALLERGY AND IMMUNOLOGY,MD/DO
Licensed Clinical Social Worker,CLINICAL/MEDICAL SOCIAL WORKER,PHD
Occupation Therapy,OCCUPATIONAL THERAPY,OTR
Clin. Card. Electrophysiology,CLINICAL CARDIAC ELECTROPHYSIOLOGY,MD/DO
internal medicine,INTERNAL MEDICINE,MD/DO
Osteopathic Internship,OSTEOPATHIC HOSPITAL IP,MD/DO
Social Worker,REGISTERED SOCIAL WORKER,RSW
Ped-Pulmonology,PEDIATRIC PULMONARY MEDICINE,MD/DO
Dietician,NUTRITION SERVICES,RD
Ped-Critical Care Medicine,PEDIATRIC CRITICAL CARE MEDICINE,MD/DO
Physician Assistant-Medical,PHYSICIAN ASSISTANT,PA
Physician Assistant-Surgical,PHYSICIAN ASSISTANT,PA
Neonatal Medicine,NEONATOLOGY,MD/DO
Anesthesia,ANESTHESIOLOGY,MD/DO
Pediatric - Hospitalist,PEDIATRICS,MD/DO
Allergy/Immunology,ALLERGY AND IMMUNOLOGY,MD/DO
Endocrinology,"ENDOCRINOLOGY, DIABETES, AND METABOLISM",MD/DO
General Internal Medicine,INTERNAL MEDICINE,MD/DO
Electrophysiologist,ELECTROPHYSIOLOGY,MD/DO
Sleep Medicine,SLEEP STUDY,MD/DO
