city,state_short,state_full,county
Holtsville,NY,New York,SUFFOLK
Adjuntas,PR,Puerto Rico,ADJUNTAS
Aguada,PR,Puerto Rico,AGUADA
Aguadilla,PR,Puerto Rico,AGUADILLA
Maricao,PR,Puerto Rico,MARICAO
Anasco,PR,Puerto Rico,ANASCO
Angeles,PR,Puerto Rico,UTUADO
Arecibo,PR,Puerto Rico,ARECIBO
Bajadero,PR,Puerto Rico,ARECIBO
Barceloneta,PR,Puerto Rico,BARCELONETA
Boqueron,PR,Puerto Rico,CABO ROJO
Cabo Rojo,PR,Puerto Rico,CABO ROJO
Penuelas,PR,Puerto Rico,PENUELAS
Camuy,PR,Puerto Rico,CAMUY
Castaner,PR,Puerto Rico,LARES
Rosario,PR,Puerto Rico,SAN GERMAN
Sabana Grande,PR,Puerto Rico,SABANA GRANDE
Ciales,PR,Puerto Rico,CIALES
Utuado,PR,Puerto Rico,UTUADO
Dorado,PR,Puerto Rico,DORADO
Ensenada,PR,Puerto Rico,GUANICA
Florida,PR,Puerto Rico,FLORIDA
Garrochales,PR,Puerto Rico,ARECIBO
Guanica,PR,Puerto Rico,GUANICA
Guayanilla,PR,Puerto Rico,GUAYANILLA
Hatillo,PR,Puerto Rico,HATILLO
Hormigueros,PR,Puerto Rico,HORMIGUEROS
Isabela,PR,Puerto Rico,ISABELA
Jayuya,PR,Puerto Rico,JAYUYA
Lajas,PR,Puerto Rico,LAJAS
Lares,PR,Puerto Rico,LARES
Las Marias,PR,Puerto Rico,LAS MARIAS
Manati,PR,Puerto Rico,MANATI
Moca,PR,Puerto Rico,MOCA
Rincon,PR,Puerto Rico,RINCON
Quebradillas,PR,Puerto Rico,QUEBRADILLAS
Mayaguez,PR,Puerto Rico,MAYAGUEZ
San German,PR,Puerto Rico,SAN GERMAN
San Sebastian,PR,Puerto Rico,SAN SEBASTIAN
Morovis,PR,Puerto Rico,MOROVIS
Sabana Hoyos,PR,Puerto Rico,ARECIBO
San Antonio,PR,Puerto Rico,AGUADILLA
Vega Alta,PR,Puerto Rico,VEGA ALTA
Vega Baja,PR,Puerto Rico,VEGA BAJA
Yauco,PR,Puerto Rico,YAUCO
Aguas Buenas,PR,Puerto Rico,AGUAS BUENAS
Aguirre,PR,Puerto Rico,SALINAS
Aibonito,PR,Puerto Rico,AIBONITO
Maunabo,PR,Puerto Rico,MAUNABO
Arroyo,PR,Puerto Rico,ARROYO
Mercedita,PR,Puerto Rico,PONCE
Ponce,PR,Puerto Rico,PONCE
Naguabo,PR,Puerto Rico,NAGUABO
Naranjito,PR,Puerto Rico,NARANJITO
Orocovis,PR,Puerto Rico,OROCOVIS
Palmer,PR,Puerto Rico,RIO GRANDE
Patillas,PR,Puerto Rico,PATILLAS
Caguas,PR,Puerto Rico,CAGUAS
Canovanas,PR,Puerto Rico,CANOVANAS
Ceiba,PR,Puerto Rico,CEIBA
Cayey,PR,Puerto Rico,CAYEY
Fajardo,PR,Puerto Rico,FAJARDO
Cidra,PR,Puerto Rico,CIDRA
Puerto Real,PR,Puerto Rico,FAJARDO
Punta Santiago,PR,Puerto Rico,HUMACAO
Roosevelt Roads,PR,Puerto Rico,CEIBA
Rio Blanco,PR,Puerto Rico,NAGUABO
